Time,A*B
(s),(W)

0.00000000,4.51224400
0.00066700,4.59183300
0.00133400,4.64214200
0.00200100,4.56710400
0.00266800,4.56710400
0.00333500,4.45968300
0.00400200,4.40942000
0.00466900,4.41166700
0.00533600,4.39059700
0.00600300,4.36315600
0.00667000,4.10703800
0.00733700,4.05672900
0.00800400,3.97735800
0.00867100,3.92707000
0.00933800,4.08250700
0.01000500,4.10536500
0.01067200,4.03591500
0.01133900,4.01213100
0.01200600,4.05879400
0.01267300,3.77966600
0.01334000,3.95611100
0.01400700,4.05507700
0.01467400,4.10703800
0.01534100,4.31109000
0.01600800,4.26080200
0.01667500,4.21051400
0.01734200,4.26080200
0.01800900,4.21051400
0.01867600,4.18095300
0.01934300,4.13069000
0.02001000,4.00274800
0.02067700,3.92707000
0.02134400,3.82805200
0.02201100,3.80363400
0.02267800,3.75678700
0.02334500,3.88033500
0.02401200,3.93524600
0.02467900,3.85745600
0.02534600,3.80518400
0.02601300,3.67562700
0.02668000,3.51839700
0.02734700,3.59790900
0.02801400,3.62349200
0.02868100,3.67562700
0.02934800,3.77620400
0.03001500,3.77620400
0.03068200,3.80363400
0.03134900,3.85196000
0.03201600,3.88135300
0.03268300,3.82649200
0.03335000,3.80363400
0.03401700,3.85392300
0.03468400,3.77428100
0.03535100,3.79558000
0.03601800,3.82454300
0.03668500,3.67562700
0.03735200,3.72591600
0.03801900,3.67712500
0.03868600,3.62681600
0.03935300,3.62681600
0.04002000,3.52485200
0.04068700,3.50196300
0.04135400,3.45020400
0.04202100,3.42100700
0.04268800,3.34189500
0.04335500,3.24131800
0.04402200,3.03559300
0.04468900,3.03683000
0.04535600,3.03559300
0.04602300,3.14074100
0.04669000,3.36932500
0.04735700,3.41787200
0.04802400,3.54762000
0.04869100,3.46672100
0.04935800,3.41647900
0.05002500,3.36623600
0.05069200,3.41473700
0.05135900,3.39045600
0.05202600,3.34019300
0.05269300,3.28993000
0.05336000,3.19103000
0.05402700,3.19103000
0.05469400,3.14202100
0.05536100,2.98804100
0.05602800,2.98925800
0.05669500,3.01549600
0.05736200,2.96516200
0.05802900,3.04295200
0.05869600,2.91334400
0.05936300,2.83703800
0.06003000,2.80958200
0.06069700,2.83703800
0.06136400,2.83559400
0.06203100,2.88590300
0.06269800,2.91482700
0.06336500,2.86449300
0.06403200,2.86565900
0.06469900,2.83819300
0.06536600,2.78670300
0.06603300,2.83819300
0.06670000,2.86108100
0.06736700,2.85991700
0.06803400,2.98652100
0.06870100,2.98530400
0.06936800,2.93501600
0.07003500,2.91334400
0.07070200,2.86449300
0.07136900,2.86449300
0.07203600,2.83703800
0.07270300,2.80815300
0.07337000,2.65722600
0.07403700,2.55791000
0.07470400,2.50757500
0.07537100,2.38041900
0.07603800,2.45366300
0.07670500,2.45141700
0.07737200,2.47784800
0.07803900,2.39890700
0.07870600,2.34768700
0.07937300,2.37509200
0.08004000,2.24811900
0.08070700,2.37727100
0.08137400,2.45041800
0.08204100,2.34984100
0.08270800,2.42632300
0.08337500,2.52581900
0.08404200,2.55322400
0.08470900,2.60452800
0.08537600,2.63328500
0.08604300,2.50527800
0.08671000,2.42756000
0.08737700,2.34864400
0.08804400,2.24720300
0.08871100,2.19696000
0.08937800,2.14759300
0.09004500,2.12017700
0.09071200,2.14868800
0.09137900,2.12125800
0.09204600,2.04249800
0.09271300,2.04249800
0.09338000,1.99223500
0.09404700,1.99223500
0.09471400,2.06991400
0.09538100,2.04249800
0.09604800,2.06991400
0.09671500,2.07096900
0.09738200,2.04353900
0.09804900,2.09839900
0.09871600,2.09733100
0.09938300,2.19785600
0.10005000,2.19785600
0.10071700,2.14759300
0.10138400,2.24811900
0.10205100,2.14759300
0.10271800,2.07096900
0.10338500,2.10032300
0.10405200,2.22477700
0.10471900,2.15065800
0.10538600,2.20099200
0.10605300,2.17154600
0.10672000,1.96938900
0.10738700,2.02150400
0.10805400,1.94375400
0.10872100,1.86695400
0.10938800,1.86695400
0.11005500,1.84313600
0.11072200,1.97039200
0.11138900,1.97039200
0.11205600,2.07096900
0.11272300,2.09382700
0.11339000,2.04353900
0.11405700,2.09276100
0.11472400,1.99223500
0.11539100,1.89093900
0.11605800,1.99223500
0.11672500,2.17044000
0.11739200,2.07096900
0.11805900,2.12125800
0.11872600,1.89171000
0.11939300,1.73723700
0.12006000,1.76376800
0.12072700,1.78661500
0.12139400,1.91553200
0.12206100,1.86524400
0.12272800,1.99325000
0.12339500,1.99507800
0.12406200,1.97219900
0.12472900,1.94474400
0.12539600,1.73953700
0.12606300,1.73953700
0.12673000,1.63882700
0.12739700,1.66629400
0.12806400,1.68849500
0.12873100,1.79209700
0.12939800,1.91912600
0.13006500,1.86353400
0.13073200,1.86353400
0.13139900,1.76304900
0.13206600,1.76376800
0.13273300,1.89267400
0.13340000,1.99325000
0.13406700,1.99406300
0.13473400,1.97039200
0.13540100,1.99223500
