Time,A*B
(ms),(W)

0.00000000,-0.00044986
0.66700001,-0.00029990
1.33400003,-0.00015647
2.00100004,-0.00008476
2.66800006,-0.00019559
3.33500007,-0.00030642
4.00200009,-0.00041074
4.66900010,-0.00029338
5.33600012,-0.00017231
6.00300013,-0.00010944
6.67000015,-0.00019093
7.33700016,-0.00029804
8.00400018,-0.00030642
8.67100019,-0.00024216
9.33800021,-0.00027010
10.00500022,-0.00046010
10.67200024,-0.00056628
11.33900025,-0.00112138
12.00600027,-0.00140825
12.67300028,-0.00133001
13.34000030,-0.00133001
14.00700031,-0.00115677
14.67400033,-0.00119217
15.34100034,-0.00089971
16.00800036,-0.00082148
16.67500037,-0.00067804
17.34200038,-0.00044986
18.00900040,-0.00033902
18.67600041,-0.00019559
19.34300043,-0.00011503
20.01000044,-0.00007078
20.67700046,-0.00011503
21.34400047,-0.00012387
22.01100049,-0.00024216
22.67800050,-0.00041074
23.34500052,-0.00052157
24.01200053,-0.00090251
24.67900055,-0.00070785
25.34600056,-0.00037814
26.01300058,-0.00023471
26.68000059,-0.00022120
27.34700061,-0.00026544
28.01400062,-0.00051319
28.68100064,-0.00065476
29.34800065,-0.00032133
30.01500067,-0.00029338
30.68200068,-0.00019559
31.34900070,-0.00022819
32.01600071,-0.00021235
32.68300073,-0.00021235
33.35000074,-0.00022819
34.01700075,-0.00037488
34.68400077,-0.00043915
35.35100078,-0.00050341
36.01800080,-0.00043915
36.68500081,-0.00015647
37.35200083,-0.00026731
38.01900084,-0.00019093
38.68600086,-0.00026544
39.35300087,-0.00037255
40.02000089,-0.00026544
40.68700090,-0.00026544
41.35400092,-0.00030968
42.02100093,-0.00015647
42.68800095,-0.00026544
43.35500096,-0.00020351
44.02200098,-0.00025706
44.68900099,-0.00024775
45.35600101,-0.00008569
46.02300102,-0.00043915
46.69000104,-0.00043915
47.35700105,-0.00050341
48.02400107,-0.00073905
48.69100108,-0.00062123
49.35800110,-0.00051319
50.02500111,-0.00044986
50.69200112,-0.00048245
51.35900114,-0.00032133
52.02600115,-0.00039584
52.69300117,-0.00041074
53.36000118,-0.00019093
54.02700120,-0.00012387
54.69400121,0.00001863
55.36100123,-0.00000466
56.02800124,-0.00016765
56.69500126,-0.00029338
57.36200127,-0.00065476
58.02900129,-0.00065476
58.69600130,-0.00036277
59.36300132,-0.00030968
60.03000133,-0.00030968
60.69700135,-0.00011503
61.36400136,0.00001770
62.03100138,0.00020351
62.69800139,0.00014995
63.36500141,-0.00010431
64.03200142,-0.00053461
64.69900144,-0.00067478
65.36600145,-0.00062123
66.03300147,-0.00041074
66.70000148,-0.00036277
67.36700149,-0.00026544
68.03400151,-0.00023471
68.70100152,-0.00026544
69.36800154,-0.00006985
70.03500155,-0.00003260
70.70200157,-0.00004424
71.36900158,-0.00000652
72.03600160,-0.00006985
72.70300161,-0.00012108
73.37000163,-0.00008150
74.03700164,-0.00005588
74.70400166,-0.00013971
75.37100167,-0.00008848
76.03800169,-0.00019559
76.70500170,-0.00055697
77.37200172,-0.00055697
78.03900173,-0.00040701
78.70600175,-0.00040701
79.37300176,-0.00015647
80.04000178,-0.00005216
80.70700179,-0.00026544
81.37400181,-0.00055697
82.04100182,-0.00104315
82.70800184,-0.00104315
83.37500185,-0.00082148
84.04200186,-0.00045638
84.70900188,-0.00032133
85.37600189,-0.00055697
86.04300191,-0.00051319
86.71000192,-0.00041074
87.37700194,-0.00024216
88.04400195,-0.00001397
88.71100197,-0.00008150
89.37800198,-0.00009547
90.04500200,-0.00012108
90.71200201,-0.00029338
91.37900203,-0.00012108
92.04600204,-0.00001630
92.71300206,-0.00008150
93.38000207,-0.00009547
94.04700209,-0.00010711
94.71400210,-0.00041074
95.38100212,-0.00052157
96.04800213,-0.00055743
96.71500215,-0.00041586
97.38200216,-0.00033902
98.04900218,-0.00019559
98.71600219,-0.00026731
99.38300221,-0.00046010
100.05000222,-0.00036277
100.71700223,-0.00023471
101.38400225,-0.00019093
102.05100226,-0.00011642
102.71800228,-0.00005821
103.38500229,-0.00005821
104.05200231,-0.00003726
104.71900232,-0.00008150
105.38600234,-0.00016299
106.05300235,-0.00019559
106.72000237,-0.00022819
107.38700238,-0.00036277
108.05400240,-0.00026731
108.72100241,-0.00037814
109.38800243,-0.00052157
