Time,A*B
(s),(W)

0.00000000,7.95014400
0.00066700,7.82532500
0.00133400,7.77501600
0.00200100,7.93455400
0.00266800,7.93051600
0.00333500,7.95338400
0.00400200,7.95014400
0.00466900,7.86841600
0.00533600,7.97351100
0.00600300,7.99635800
0.00667000,8.20197900
0.00733700,8.32535200
0.00800400,8.12430000
0.00867100,8.04334100
0.00933800,7.79530600
0.01000500,7.74504400
0.01067200,7.77184900
0.01133900,7.87699700
0.01200600,7.89583300
0.01267300,7.84556900
0.01334000,7.71448200
0.01400700,7.58659200
0.01467400,7.56375500
0.01534100,7.46174400
0.01600800,7.54633900
0.01667500,7.47239100
0.01734200,7.42507800
0.01800900,7.34426600
0.01867600,7.28725100
0.01934300,7.39240000
0.02001000,7.33837200
0.02067700,7.39240000
0.02134400,7.29182300
0.02201100,7.28810900
0.02267800,7.31468100
0.02334500,7.23327700
0.02401200,7.26069300
0.02467900,7.16016800
0.02534600,6.97911700
0.02601300,6.98196300
0.02668000,7.05507200
0.02734700,7.03222600
0.02801400,7.05507200
0.02868100,6.94816800
0.02934800,6.84773400
0.03001500,6.69251900
0.03068200,6.66969300
0.03134900,6.77358000
0.03201600,6.69866300
0.03268300,6.65178800
0.03335000,6.60150000
0.03401700,6.39838100
0.03468400,6.25063500
0.03535100,6.27032200
0.03601800,6.16970300
0.03668500,6.08947200
0.03735200,6.19146600
0.03801900,6.13870000
0.03868600,6.24172900
0.03935300,6.42320400
0.04002000,6.21747900
0.04068700,6.24745500
0.04135400,5.83803000
0.04202100,5.73453100
0.04268800,5.90731200
0.04335500,5.90490200
0.04402200,6.20607900
0.04468900,6.20607900
0.04535600,6.05796200
0.04602300,5.90575800
0.04669000,5.80527400
0.04735700,5.57689900
0.04802400,5.55175700
0.04869100,5.43336400
0.04935800,5.38579600
0.05002500,5.38798800
0.05069200,5.43613000
0.05135900,5.43336400
0.05202600,5.38305500
0.05269300,5.27571300
0.05336000,5.07662900
0.05402700,5.02427200
0.05469400,5.02171300
0.05536100,5.19991700
0.05602800,5.27302600
0.05669500,5.27302600
0.05736200,5.27571300
0.05802900,5.09741900
0.05869600,5.01966600
0.05936300,4.97145000
0.06003000,4.91918100
0.06069700,4.89377100
0.06136400,4.92369500
0.06203100,4.87092400
0.06269800,4.79324500
0.06336500,4.79324500
0.06403200,4.58762500
0.06469900,4.63788800
0.06536600,4.66530400
0.06603300,4.66530400
0.06670000,4.74298300
0.06736700,4.63788800
0.06803400,4.41166700
0.06870100,4.26080200
0.06936800,4.23337200
0.07003500,4.21222900
0.07070200,4.31109000
0.07136900,4.28147800
0.07203600,4.23337200
0.07270300,4.16192000
0.07337000,4.10703800
0.07403700,3.92867000
0.07470400,3.82649200
0.07537100,3.84842700
0.07603800,3.82298400
0.07670500,4.09951100
0.07737200,4.20665400
0.07803900,4.28540600
0.07870600,4.28366000
0.07937300,4.16403900
0.08004000,4.03386100
0.08070700,3.85392300
0.08137400,3.82649200
0.08204100,3.87678100
0.08270800,3.87836100
0.08337500,3.87836100
0.08404200,3.90938100
0.08470900,3.73085000
0.08537600,3.65302800
0.08604300,3.70796100
0.08671000,3.70456600
0.08737700,3.80363400
0.08804400,3.85196000
0.08871100,3.85039000
0.08937800,3.82454300
0.09004500,3.77620400
0.09071200,3.57650700
0.09137900,3.54762000
0.09204600,3.49733200
0.09271300,3.56720500
0.09338000,3.79209700
0.09404700,3.87322700
0.09471400,3.97168600
0.09538100,3.87678100
0.09604800,3.77620400
0.09671500,3.67375500
0.09738200,3.54581400
0.09804900,3.56720500
0.09871600,3.52019000
0.09938300,3.57505100
0.10005000,3.59937500
0.10071700,3.54906600
0.10138400,3.57650700
0.10205100,3.49875700
0.10271800,3.54762000
0.10338500,3.54581400
0.10405200,3.62349200
0.10471900,3.54762000
0.10538600,3.57505100
0.10605300,3.67562700
0.10672000,3.67375500
0.10738700,3.82454300
0.10805400,3.80169700
0.10872100,4.00478800
0.10938800,4.10784300
0.11005500,4.12900600
0.11072200,4.17924800
0.11138900,4.02852200
0.11205600,4.05507700
0.11272300,4.05672900
0.11339000,3.95812500
0.11405700,3.88033500
0.11472400,3.83000100
0.11539100,3.80518400
0.11605800,3.75487500
0.11672500,3.72743400
0.11739200,3.72591600
0.11805900,3.64819700
0.11872600,3.75334500
0.11939300,3.80363400
0.12006000,3.85392300
0.12072700,3.93164100
0.12139400,3.95248500
0.12206100,4.03016500
0.12272800,4.03016500
0.12339500,4.20836900
0.12406200,4.26080200
0.12472900,4.20836900
0.12539600,4.22949100
0.12606300,4.20380000
0.12673000,4.15184400
0.12739700,4.25863200
0.12806400,4.33394900
0.12873100,4.15565300
0.12939800,4.20594200
0.13006500,4.35915800
0.13073200,4.35915800
0.13139900,4.50810800
0.13206600,4.61504100
0.13273300,4.53967400
0.13340000,4.49121500
0.13406700,4.54383600
0.13473400,4.41750900
0.13540100,4.31899500
